"","month","amount","private_spend","outsourcing"
"1",2014-01-01,2002881040,97958306,0.0489086990408577
"2",2015-01-01,2155818490,92937414,0.0431100365968194
"3",2016-01-01,2026591275,103868924,0.0512530204197193
"4",2017-01-01,2313923797,152393322,0.065859265632506
"5",2018-01-01,2567515531,165770032,0.0645643736127414
"6",2019-01-01,3174326822,229390623,0.0722643369328528
"7",2020-01-01,3204328392,201847768,0.0629922228021128
"8",2014-02-01,1888075290,87384049,0.046282078613507
"9",2015-02-01,2082720005,92714620,0.0445161230397842
"10",2016-02-01,2112404813,100569989,0.047609240606289
"11",2017-02-01,2227749156,129165543,0.0579802903985479
"12",2018-02-01,2337104518,132344118,0.0566273852883802
"13",2019-02-01,2968356480,187466713,0.0631550537353249
"14",2020-02-01,1795651455,121567882,0.067701268896864
"15",2014-03-01,1989459248,89053878,0.0447628560823881
"16",2015-03-01,2154677199,147254046,0.0683415808494848
"17",2016-03-01,2201351599,134744455,0.0612098744522274
"18",2017-03-01,2470705780,176090345,0.0712712725349273
"19",2018-03-01,2764577020,198311502,0.0717330356742964
"20",2019-03-01,3294904040,247278203,0.0750486812356453
"21",2013-04-01,1496484756,25546504,0.0170710085068184
"22",2014-04-01,2036042248,71841296,0.0352847766644182
"23",2015-04-01,2403777570,110070777,0.0457907496823843
"24",2016-04-01,2591111853,119497332,0.0461181680990134
"25",2017-04-01,2492659957,142910119,0.0573323764433546
"26",2018-04-01,3145729324,193147222,0.0613998224597407
"27",2019-04-01,3311014758,198751463,0.0600273564229157
"28",2013-05-01,1774676969,51622752,0.0290885343652645
"29",2014-05-01,2115822505,95099542,0.0449468430245287
"30",2015-05-01,2441940814,116989311,0.0479083319011187
"31",2016-05-01,2492291688,134084220,0.0537995695470136
"32",2017-05-01,2579684821,140004932,0.0542721075304571
"33",2018-05-01,3279573367,189684649,0.0578382087464976
"34",2019-05-01,3350356805,198469613,0.0592383511821213
"35",2013-06-01,1508420403,56974001,0.0377706380042912
"36",2014-06-01,1963945644,93896659,0.0478102127148281
"37",2015-06-01,2273098961,119031727,0.0523653958944377
"38",2016-06-01,2330477183,118443758,0.0508238222043129
"39",2017-06-01,2632113723,160286506,0.0608964972141517
"40",2018-06-01,2872498963,173464016,0.0603878428623823
"41",2019-06-01,3732288429,220858080,0.0591749764792897
"42",2013-07-01,1915325367,102140036,0.0533277727950647
"43",2014-07-01,2010127138,89866812,0.0447070288745089
"44",2015-07-01,2407195737,133998874,0.0556659651478936
"45",2016-07-01,2565373370,112810443,0.0439742784887488
"46",2017-07-01,2332607541,139458660,0.0597865939935243
"47",2018-07-01,2967288093,185948218,0.0626660479778362
"48",2019-07-01,3752394519,252149846,0.0671970510358802
"49",2013-08-01,1574329791,64869008,0.0412042053519141
"50",2014-08-01,1926986327,80847095,0.0419551990936363
"51",2015-08-01,2031035084,105783015,0.0520833026634216
"52",2016-08-01,2394876005,129953134,0.0542629905384183
"53",2017-08-01,2480502426,145590526,0.058693966381148
"54",2018-08-01,2853349755,186253718,0.0652754600706144
"55",2019-08-01,3168242332,208698044,0.0658718690461586
"56",2013-09-01,1664297795,67313942,0.0404458518194456
"57",2014-09-01,1884329144,106735413,0.0566437203074963
"58",2015-09-01,2336303996,110624105,0.0473500474207981
"59",2016-09-01,2322043635,133040566,0.0572946020456674
"60",2017-09-01,2580916032,157748326,0.0611210609117562
"61",2018-09-01,2720792488,168740657,0.0620189366679845
"62",2019-09-01,3303209974,199072226,0.0602662947759675
"63",2013-10-01,1608543942,73903631,0.0459444277960546
"64",2014-10-01,2134296343,110620545,0.0518299838552457
"65",2015-10-01,2284304799,112338904,0.0491785965030492
"66",2016-10-01,2270817034,120556018,0.0530892697187685
"67",2017-10-01,2591670161,147745106,0.0570076810789041
"68",2018-10-01,3257970937,202532507,0.0621652282713411
"69",2019-10-01,3796136493,245177440,0.0645860443775144
"70",2013-11-01,1686332105,51713121,0.0306660359763476
"71",2014-11-01,1949916709,91039381,0.0466888562879636
"72",2015-11-01,2315796129,102154087,0.0441118653411481
"73",2016-11-01,2312738216,125666212,0.0543365483955837
"74",2017-11-01,2528948741,154533916,0.0611059898109655
"75",2018-11-01,3049305921,206690791,0.0677828976018966
"76",2019-11-01,3603709405,199991761,0.0554960843187077
"77",2013-12-01,1602662023,82289568,0.051345553097941
"78",2014-12-01,2041342780,102591872,0.0502570528600787
"79",2015-12-01,2272508060,122596586,0.0539477012900011
"80",2016-12-01,2153063772,131433755,0.0610449893353182
"81",2017-12-01,2426880517,159567069,0.0657498660862174
"82",2018-12-01,2897965857,202794311,0.069978157441073
"83",2019-12-01,3151842872,232231099,0.0736810521435156
